Squad,# Pl_Standard,Age_Standard,Poss_Standard,MP_Standard,Starts_Standard,Min_Standard,90s_Standard,Gls_Standard,Ast_Standard,G+A_Standard,G-PK_Standard,PK_Standard,PKatt_Standard,CrdY_Standard,CrdR_Standard,xG_Standard,npxG_Standard,xAG_Standard,npxG+xAG_Standard,PrgC_Standard,PrgP_Standard,Gls_Standard,Ast_Standard,G+A_Standard,G-PK_Standard,G+A-PK_Standard,xG_Standard,xAG_Standard,xG+xAG_Standard,npxG_Standard,npxG+xAG_Standard,# Pl_GK,MP_GK,Starts_GK,Min_GK,90s_GK,GA_GK,GA90_GK,SoTA_GK,Saves_GK,Save%_GK,W_GK,D_GK,L_GK,CS_GK,CS%_GK,PKatt_GK,PKA_GK,PKsv_GK,PKm_GK,Save%_GK,# Pl_AdvGK,90s_AdvGK,GA_AdvGK,PKA_AdvGK,FK_AdvGK,CK_AdvGK,OG_AdvGK,PSxG_AdvGK,PSxG/SoT_AdvGK,PSxG+/-_AdvGK,/90_AdvGK,Cmp_AdvGK,Att_AdvGK,Cmp%_AdvGK,Att (GK)_AdvGK,Thr_AdvGK,Launch%_AdvGK,AvgLen_AdvGK,Att_AdvGK,Launch%_AdvGK,AvgLen_AdvGK,Opp_AdvGK,Stp_AdvGK,Stp%_AdvGK,#OPA_AdvGK,#OPA/90_AdvGK,AvgDist_AdvGK,# Pl_Shooting,90s_Shooting,Gls_Shooting,Sh_Shooting,SoT_Shooting,SoT%_Shooting,Sh/90_Shooting,SoT/90_Shooting,G/Sh_Shooting,G/SoT_Shooting,Dist_Shooting,FK_Shooting,PK_Shooting,PKatt_Shooting,xG_Shooting,npxG_Shooting,npxG/Sh_Shooting,G-xG_Shooting,np:G-xG_Shooting,# Pl_Passing,90s_Passing,Cmp_Passing,Att_Passing,Cmp%_Passing,TotDist_Passing,PrgDist_Passing,Cmp_Passing,Att_Passing,Cmp%_Passing,Cmp_Passing,Att_Passing,Cmp%_Passing,Cmp_Passing,Att_Passing,Cmp%_Passing,Ast_Passing,xAG_Passing,xA_Passing,A-xAG_Passing,KP_Passing,1/3_Passing,PPA_Passing,CrsPA_Passing,PrgP_Passing,# Pl_PassTypes,90s_PassTypes,Att_PassTypes,Live_PassTypes,Dead_PassTypes,FK_PassTypes,TB_PassTypes,Sw_PassTypes,Crs_PassTypes,TI_PassTypes,CK_PassTypes,In_PassTypes,Out_PassTypes,Str_PassTypes,Cmp_PassTypes,Off_PassTypes,Blocks_PassTypes,# PlG&SCreation,90sG&SCreation,SCAG&SCreation,SCA90G&SCreation,PassLiveG&SCreation,PassDeadG&SCreation,TOG&SCreation,ShG&SCreation,FldG&SCreation,DefG&SCreation,GCAG&SCreation,GCA90G&SCreation,PassLiveG&SCreation,PassDeadG&SCreation,TOG&SCreation,ShG&SCreation,FldG&SCreation,DefG&SCreation,# Pl_DefActions,90s_DefActions,Tkl_DefActions,TklW_DefActions,Def 3rd_DefActions,Mid 3rd_DefActions,Att 3rd_DefActions,Tkl_DefActions,Att_DefActions,Tkl%_DefActions,Lost_DefActions,Blocks_DefActions,Sh_DefActions,Pass_DefActions,Int_DefActions,Tkl+Int_DefActions,Clr_DefActions,Err_DefActions,# Pl_Possession,Poss_Possession,90s_Possession,Touches_Possession,Def Pen_Possession,Def 3rd_Possession,Mid 3rd_Possession,Att 3rd_Possession,Att Pen_Possession,Live_Possession,Att_Possession,Succ_Possession,Succ%_Possession,Tkld_Possession,Tkld%_Possession,Carries_Possession,TotDist_Possession,PrgDist_Possession,PrgC_Possession,1/3_Possession,CPA_Possession,Mis_Possession,Dis_Possession,Rec_Possession,PrgR_Possession,# Pl_PlayTime,Age_PlayTime,MP_PlayTime,Min_PlayTime,Mn/MP_PlayTime,Min%_PlayTime,90s_PlayTime,Starts_PlayTime,Mn/Start_PlayTime,Compl_PlayTime,Subs_PlayTime,Mn/Sub_PlayTime,unSub_PlayTime,PPM_PlayTime,onG_PlayTime,onGA_PlayTime,+/-_PlayTime,+/-90_PlayTime,onxG_PlayTime,onxGA_PlayTime,xG+/-_PlayTime,xG+/-90_PlayTime,# Pl_Misc,90s_Misc,CrdY_Misc,CrdR_Misc,2CrdY_Misc,Fls_Misc,Fld_Misc,Off_Misc,Crs_Misc,Int_Misc,TklW_Misc,PKwon_Misc,PKcon_Misc,OG_Misc,Recov_Misc,Won_Misc,Lost_Misc,Won%_Misc,Extraction Date
Girona,22,27.6,57.0,3,44,360,4.0,7,5,12,6,1,1,5,0,6.8,6.0,4.6,10.6,71,207,1.75,1.25,3.00,1.50,2.75,1.69,1.15,2.84,1.50,2.65,1,3,3,360,4.0,4,1.00,15,11,73.3,2,1,1,2,66.7,0,0,0,0,,1,4.0,4,0,1,1,0,2.9,0.20,-1.1,-0.26,6,24,25.0,104,16,18.3,27.5,22,22.7,29.1,26,3,11.5,5,1.25,17.9,22,4.0,7,46,14,30.4,11.50,3.50,0.13,0.43,17.3,0,1,1,6.8,6.0,0.13,+0.2,0.0,22,4.0,2087,2388,87.4,35990,10705,978,1046,93.5,945,1024,92.3,151,257,58.8,5,4.6,5.0,+0.4,33,201,32,9,207,22,4.0,2388,2199,179,45,3,13,90,81,23,6,6,5,2087,10,28,22,4.0,77,19.25,61,5,3,4,2,2,13,3.25,11,0,1,1,0,0,22,4.0,67,38,28,28,11,30,59,50.8,29,48,12,36,31,98,43,1,22,57.0,4.0,2781,212,734,1291,771,100,2780,72,37,51.4,33,45.8,1755,9610,4878,71,70,21,62,40,2054,207,22,27.6,3,360,120,100,4.0,44,80,25,19,23,28,1.33,5,4,+1,+0.25,6.8,3.6,+3.2,+0.79,22,4.0,5,0,0,42,35,10,90,31,38,0,0,0,162,13,27,32.5,2024-09-02 14:47:15.054703
Las Palmas,19,28.3,55.5,3,44,360,4.0,3,3,6,3,0,0,3,0,3.7,3.7,3.5,7.2,58,123,0.75,0.75,1.50,0.75,1.50,0.91,0.88,1.79,0.91,1.79,1,3,3,360,4.0,7,1.75,23,16,73.9,0,2,2,0,0.0,3,1,1,1,50.0,1,4.0,7,1,0,0,1,6.3,0.21,+0.3,+0.09,12,35,34.3,112,27,25.0,26.8,38,18.4,22.4,48,3,6.3,3,0.75,16.9,19,4.0,3,44,18,40.9,11.00,4.50,0.07,0.17,18.1,1,0,0,3.7,3.7,0.08,-0.7,-0.7,19,4.0,1774,2174,81.6,30248,10738,835,929,89.9,766,895,85.6,139,272,51.1,3,3.5,2.9,-0.5,39,118,30,17,123,19,4.0,2174,1959,213,54,7,8,83,90,20,7,9,2,1774,2,32,19,4.0,84,21.00,62,10,5,4,3,0,6,1.50,5,0,1,0,0,0,19,4.0,63,37,34,23,6,35,66,53.0,31,45,14,31,33,96,76,1,19,55.5,4.0,2589,296,898,1277,421,64,2589,52,27,51.9,21,40.4,1447,7158,3717,58,43,6,55,35,1759,122,19,28.3,3,360,120,100,4.0,44,81,23,21,19,26,0.67,4,5,-1,-0.25,3.7,7.7,-4.1,-1.01,19,4.0,3,0,0,49,49,2,83,33,37,0,3,1,132,43,59,42.2,2024-09-02 14:47:15.054703
Leganés,20,27.4,43.5,4,44,360,4.0,3,3,6,3,0,1,9,0,3.0,2.2,1.8,4.0,41,107,0.75,0.75,1.50,0.75,1.50,0.74,0.45,1.19,0.54,0.99,1,4,4,360,4.0,3,0.75,16,14,81.3,1,2,1,1,25.0,0,0,0,0,,1,4.0,3,0,0,0,1,5.1,0.32,+3.1,+0.79,21,85,24.7,87,10,58.6,45.5,37,91.9,66.7,87,5,5.7,0,0.00,8.2,20,4.0,3,35,11,31.4,8.75,2.75,0.09,0.27,20.3,3,0,1,3.0,2.2,0.06,0.0,+0.8,20,4.0,1203,1614,74.5,22376,8124,491,576,85.2,540,640,84.4,130,298,43.6,3,1.8,2.1,+1.2,24,72,24,5,107,20,4.0,1614,1438,168,50,3,18,60,62,12,6,5,0,1203,8,38,20,4.0,66,16.50,43,6,6,2,6,3,6,1.50,5,0,0,0,0,1,20,4.0,60,42,29,30,1,28,54,51.9,26,42,11,31,45,105,127,0,20,43.5,4.0,2074,254,797,925,373,54,2073,60,28,46.7,27,45.0,1070,5266,2383,41,41,9,59,33,1197,107,20,27.4,4,360,90,100,4.0,44,79,23,21,23,26,1.25,3,3,0,0.00,3.0,4.7,-1.8,-0.44,20,4.0,9,0,0,53,51,8,60,45,42,1,0,1,141,56,78,41.8,2024-09-02 14:47:15.054703
Mallorca,20,29.1,44.8,4,44,360,4.0,2,2,4,2,0,0,5,0,3.5,3.5,1.9,5.4,56,145,0.50,0.50,1.00,0.50,1.00,0.87,0.48,1.35,0.87,1.35,2,4,4,360,4.0,2,0.50,19,17,89.5,1,2,1,2,50.0,0,0,0,0,,2,4.0,2,0,0,0,0,2.8,0.15,+0.8,+0.21,14,48,29.2,62,11,64.5,42.8,39,20.5,25.5,54,0,0.0,1,0.25,9.6,20,4.0,2,46,13,28.3,11.50,3.25,0.04,0.15,16.9,0,0,0,3.5,3.5,0.08,-1.5,-1.5,20,4.0,1311,1672,78.4,25536,9655,547,619,88.4,548,642,85.4,192,332,57.8,2,1.9,3.8,+0.1,33,127,33,17,145,20,4.0,1672,1482,187,41,3,21,99,81,20,8,10,0,1311,3,37,20,4.0,85,21.25,64,8,5,6,2,0,4,1.00,3,1,0,0,0,0,20,4.0,67,36,37,21,9,29,59,49.2,30,34,10,24,43,110,133,1,20,44.8,4.0,2134,255,726,878,562,73,2134,59,24,40.7,32,54.2,1092,6112,2916,56,46,13,48,34,1289,141,20,29.1,4,360,90,100,4.0,44,82,25,19,19,29,1.25,2,2,0,0.00,3.5,2.2,+1.3,+0.32,20,4.0,5,0,0,51,35,3,99,43,36,0,0,0,155,75,57,56.8,2024-09-02 14:47:15.054703
Osasuna,21,27.7,49.3,3,44,360,4.0,3,2,5,3,0,0,7,0,3.2,3.2,2.5,5.7,64,125,0.75,0.50,1.25,0.75,1.25,0.80,0.64,1.44,0.80,1.44,1,3,3,360,4.0,7,1.75,14,8,50.0,2,1,1,1,33.3,0,0,0,0,,1,4.0,7,0,0,0,1,6.4,0.46,+0.4,+0.10,21,53,39.6,97,11,37.1,37.4,29,58.6,49.4,54,5,9.3,11,2.75,22.0,21,4.0,3,42,14,33.3,10.50,3.50,0.07,0.21,16.3,1,0,0,3.2,3.2,0.08,-0.2,-0.2,21,4.0,1385,1808,76.6,25553,9585,584,690,84.6,617,733,84.2,154,311,49.5,2,2.5,2.8,-0.5,30,113,18,9,125,21,4.0,1808,1610,191,47,1,16,87,87,17,8,3,0,1385,7,33,21,4.0,74,18.50,49,11,3,9,2,0,4,1.00,2,0,0,2,0,0,21,4.0,71,35,25,36,10,35,60,58.3,25,48,15,33,34,105,77,2,21,49.3,4.0,2215,200,668,1028,536,67,2215,63,28,44.4,30,47.6,1043,5578,2613,64,47,10,48,33,1364,122,21,27.7,3,360,120,100,4.0,44,82,25,20,18,26,1.33,2,5,-3,-0.75,3.2,5.6,-2.4,-0.60,21,4.0,7,0,0,52,39,7,87,34,35,0,0,1,158,65,53,55.1,2024-09-02 14:47:15.054703
Rayo Vallecano,19,29.5,43.8,4,44,360,4.0,4,4,8,4,0,0,11,0,3.0,3.0,1.9,4.9,47,114,1.00,1.00,2.00,1.00,2.00,0.75,0.47,1.22,0.75,1.22,1,4,4,360,4.0,5,1.25,12,7,58.3,1,1,2,1,25.0,0,0,0,0,,1,4.0,5,0,0,0,0,3.9,0.35,-1.1,-0.27,21,63,33.3,62,13,61.3,45.5,40,62.5,48.7,57,1,1.8,1,0.25,10.8,19,4.0,4,40,13,32.5,10.00,3.25,0.10,0.31,22.6,3,0,0,3.0,3.0,0.08,+1.0,+1.0,19,4.0,956,1384,69.1,17718,7906,423,503,84.1,401,507,79.1,113,282,40.1,4,1.9,1.8,+2.1,22,92,20,6,114,19,4.0,1384,1172,199,50,5,6,76,80,20,10,6,0,956,13,44,19,4.0,65,16.25,40,14,4,1,5,1,7,1.75,6,0,1,0,0,0,19,4.0,77,52,41,28,8,38,76,50.0,38,49,20,29,44,121,107,0,19,43.8,4.0,1860,247,685,766,427,66,1860,55,22,40.0,26,47.3,819,4249,2109,47,29,16,62,32,949,112,19,29.5,4,360,90,100,4.0,44,78,24,20,26,28,1.00,4,5,-1,-0.25,3.0,4.5,-1.5,-0.38,19,4.0,11,0,0,72,53,13,76,44,52,0,0,0,174,64,65,49.6,2024-09-02 14:47:15.054703
Real Madrid,18,27.5,61.5,3,44,360,4.0,7,5,12,5,2,2,5,1,7.0,5.8,5.2,11.0,102,270,1.75,1.25,3.00,1.25,2.50,1.75,1.30,3.05,1.45,2.75,1,3,3,360,4.0,2,0.50,9,7,77.8,2,2,0,2,66.7,0,0,0,0,,1,4.0,2,0,0,1,0,1.5,0.16,-0.5,-0.14,6,14,42.9,109,24,11.0,25.9,21,9.5,22.7,45,3,6.7,4,1.00,11.2,18,4.0,7,74,27,36.5,18.50,6.75,0.07,0.19,18.0,2,2,2,7.0,5.8,0.08,0.0,-0.8,18,4.0,2331,2647,88.1,40329,12411,1052,1136,92.6,1044,1139,91.7,183,257,71.2,5,5.2,5.5,-0.2,61,246,47,3,270,18,4.0,2647,2453,189,60,3,21,68,77,25,8,6,4,2331,5,40,18,4.0,140,35.00,106,10,10,11,2,1,12,3.00,9,1,0,1,1,0,18,4.0,63,44,28,25,10,30,61,49.2,31,35,11,24,32,95,55,0,18,61.5,4.0,3070,223,716,1349,1031,148,3068,106,58,54.7,45,42.5,1902,10550,5732,102,81,40,49,36,2310,265,18,27.5,3,360,120,100,4.0,44,83,26,17,17,20,1.67,5,2,+3,+0.75,7.0,2.8,+4.2,+1.06,18,4.0,5,1,0,38,57,5,68,32,44,1,0,0,161,38,31,55.1,2024-09-02 14:47:15.054703
Real Sociedad,23,26.1,58.0,3,44,360,4.0,3,2,5,3,0,0,9,1,2.8,2.8,2.0,4.8,61,127,0.75,0.50,1.25,0.75,1.25,0.70,0.50,1.20,0.70,1.20,1,3,3,360,4.0,4,1.00,13,9,76.9,1,1,2,2,66.7,1,1,0,0,0.0,1,4.0,4,1,0,0,0,3.7,0.21,-0.3,-0.07,25,63,39.7,114,13,28.9,31.3,42,71.4,52.1,61,3,4.9,5,1.25,16.1,23,4.0,3,30,8,26.7,7.50,2.00,0.10,0.38,18.0,2,0,0,2.8,2.8,0.09,+0.2,+0.2,23,4.0,1396,1827,76.4,25756,9136,588,698,84.2,629,765,82.2,150,272,55.1,2,2.0,2.2,0.0,20,111,17,7,127,23,4.0,1827,1576,245,68,0,10,79,104,23,11,10,0,1396,6,30,23,4.0,53,13.25,35,6,4,4,3,1,6,1.50,5,0,1,0,0,0,23,4.0,56,32,29,20,7,30,58,51.7,28,46,17,29,27,83,119,5,23,58.0,4.0,2260,298,795,1001,479,71,2260,59,23,39.0,31,52.5,1023,6236,3140,61,27,16,55,35,1368,126,23,26.1,3,360,120,100,4.0,44,77,22,21,25,26,1.00,3,4,-1,-0.25,2.8,4.9,-2.0,-0.51,23,4.0,9,1,0,64,60,6,79,27,32,0,1,0,131,61,71,46.2,2024-09-02 14:47:15.054703
Sevilla,22,26.4,54.0,3,44,360,4.0,2,2,4,2,0,0,9,1,4.6,4.6,3.2,7.8,71,147,0.50,0.50,1.00,0.50,1.00,1.15,0.81,1.95,1.15,1.95,1,3,3,360,4.0,6,1.50,19,14,73.7,0,2,2,1,33.3,1,1,0,0,0.0,1,4.0,6,1,0,0,1,4.6,0.20,-0.4,-0.10,11,47,23.4,113,15,37.2,33.5,23,21.7,24.1,63,1,1.6,3,0.75,16.7,22,4.0,2,66,24,36.4,16.50,6.00,0.03,0.08,19.2,3,0,0,4.6,4.6,0.07,-2.6,-2.6,22,4.0,1730,2109,82.0,27593,8939,880,969,90.8,689,788,87.4,102,230,44.3,2,3.2,3.3,-1.2,49,107,30,7,147,22,4.0,2109,1897,201,56,4,12,71,86,26,11,7,0,1730,11,40,22,4.0,116,29.00,80,12,8,10,5,1,4,1.00,4,0,0,0,0,0,22,4.0,63,43,33,21,9,30,52,57.7,22,40,8,32,29,92,81,0,22,54.0,4.0,2548,251,865,1189,520,83,2548,78,36,46.2,35,44.9,1407,7359,3835,71,55,16,59,32,1714,146,22,26.4,3,360,120,100,4.0,44,84,26,17,16,30,0.67,3,4,-1,-0.25,4.6,5.2,-0.6,-0.16,22,4.0,9,1,0,47,47,11,71,29,43,0,1,1,171,48,45,51.6,2024-09-02 14:47:15.054703
Valencia,20,24.1,49.0,4,44,360,4.0,3,2,5,3,0,0,8,0,3.1,3.0,2.5,5.5,64,138,0.75,0.50,1.25,0.75,1.25,0.76,0.61,1.38,0.76,1.37,1,4,4,360,4.0,7,1.75,17,9,64.7,0,1,3,0,0.0,2,1,1,0,50.0,1,4.0,7,1,0,1,0,6.3,0.27,-0.7,-0.17,19,49,38.8,117,21,32.5,33.9,20,55.0,42.9,46,2,4.3,7,1.75,19.9,20,4.0,3,43,10,23.3,10.75,2.50,0.07,0.30,18.2,0,0,0,3.1,3.0,0.07,-0.1,0.0,20,4.0,1517,1927,78.7,27891,8923,654,753,86.9,692,802,86.3,153,289,52.9,2,2.5,3.3,-0.5,29,120,20,8,138,20,4.0,1927,1716,199,52,3,10,101,91,27,8,15,0,1517,12,36,20,4.0,72,18.00,49,9,5,7,2,0,5,1.25,4,0,0,1,0,0,20,4.0,73,46,36,25,12,27,62,43.5,35,39,14,25,29,102,70,1,20,49.0,4.0,2332,236,763,1029,565,66,2332,65,27,41.5,30,46.2,1196,6174,3225,64,49,12,53,28,1506,136,20,24.1,4,360,90,100,4.0,44,84,25,19,15,27,0.25,3,7,-4,-1.00,3.1,6.4,-3.3,-0.82,20,4.0,8,0,0,46,44,12,101,29,46,0,2,0,157,44,56,44.0,2024-09-02 14:47:15.054703
Valladolid,21,26.3,42.8,4,44,360,4.0,1,1,2,1,0,0,7,0,2.8,2.8,2.3,5.1,57,132,0.25,0.25,0.50,0.25,0.50,0.70,0.58,1.28,0.70,1.28,1,4,4,360,4.0,10,2.50,23,13,56.5,1,1,2,2,50.0,0,0,0,0,,1,4.0,10,0,1,1,0,6.7,0.29,-3.3,-0.83,15,53,28.3,119,24,35.3,34.1,27,40.7,38.6,51,4,7.8,5,1.25,18.0,21,4.0,1,36,4,11.1,9.00,1.00,0.03,0.25,18.0,0,0,0,2.8,2.8,0.08,-1.8,-1.8,21,4.0,1338,1657,80.7,24525,9097,600,661,90.8,562,652,86.2,156,273,57.1,1,2.3,2.3,-1.3,28,78,20,10,132,21,4.0,1657,1476,171,54,5,27,72,63,13,5,7,0,1338,10,31,21,4.0,65,16.25,50,6,2,3,2,2,1,0.25,1,0,0,0,0,0,21,4.0,63,38,39,20,4,29,72,40.3,43,51,15,36,27,90,78,0,21,42.8,4.0,2055,270,835,848,393,83,2055,69,37,53.6,22,31.9,1067,5647,2959,57,37,16,47,35,1323,130,21,26.3,4,360,90,100,4.0,44,81,24,20,20,28,1.00,1,10,-9,-2.25,2.8,7.6,-4.8,-1.19,21,4.0,7,0,0,55,39,10,72,27,38,0,0,0,135,43,39,52.4,2024-09-02 14:47:15.054703
Villarreal,20,28.1,43.0,4,44,360,4.0,7,5,12,7,0,1,15,1,5.7,4.8,4.1,8.9,54,160,1.75,1.25,3.00,1.75,3.00,1.43,1.02,2.46,1.20,2.22,1,4,4,360,4.0,7,1.75,23,16,69.6,2,2,0,0,0.0,0,0,0,0,,1,4.0,7,0,1,2,0,5.9,0.26,-1.1,-0.28,13,36,36.1,79,9,29.1,31.9,32,40.6,37.3,73,1,1.4,0,0.00,8.6,20,4.0,7,49,19,38.8,12.25,4.75,0.14,0.37,16.0,3,0,1,5.7,4.8,0.10,+1.3,+2.2,20,4.0,1470,1780,82.6,29048,9831,495,564,87.8,785,875,89.7,176,282,62.4,5,4.1,3.7,+0.9,35,128,31,8,160,20,4.0,1780,1605,166,54,4,17,51,55,14,9,5,0,1470,9,31,20,4.0,89,22.25,68,6,4,7,4,0,12,3.00,10,0,0,2,0,0,20,4.0,55,33,25,20,10,25,66,37.9,41,56,17,39,25,80,117,1,20,43.0,4.0,2246,306,830,951,477,80,2245,68,28,41.2,28,41.2,1046,5721,2763,54,35,13,59,33,1448,158,20,28.1,4,360,90,100,4.0,44,80,25,18,23,23,2.00,9,7,+2,+0.50,5.7,5.9,-0.1,-0.04,20,4.0,15,1,1,34,48,9,51,25,33,1,0,0,156,55,34,61.8,2024-09-02 14:47:15.054703
